"baseline","R2_marginal","R2_conditional","AIC","dAIC","df","weight"
"m_ndvi_2000_2010_h13_16d",0.697863877344086,0.779926218325527,2096.9899875056,0,6,0.732577020782056
"m_ndvi_2000_2010_h13_full",0.691731141631709,0.766293792994076,2101.04272161489,4.05273410928112,6,0.0965635584714238
"m_sr_2000_2010_h13_16d",0.675476889089832,0.7718655777723,2101.25084023611,4.26085273050876,6,0.0870203603194125
"m_sr_2000_2010_h13_full",0.672951819535033,0.765997279546165,2103.46069668312,6.47070917751307,6,0.0288241591373565
"m_sr_2005_2015_h13_16d",0.663003537567915,0.772341152967713,2105.6754062379,8.68541873229424,6,0.00952442085978366
"m_sr_2000_2010_h12_16d",0.665945918617282,0.764444622435974,2105.91727344935,8.92728594374466,6,0.0084395206444747
"m_evi_2000_2010_h13_full",0.67734354739503,0.75747621493161,2106.09628624392,9.10629873831613,6,0.00771694927289459
"m_tcg_2000_2010_h13_16d",0.68232557813562,0.755567853258652,2106.65991331958,9.66992581397972,6,0.00582177720142104
"m_tcg_2000_2010_h13_full",0.677982383546359,0.756266818874188,2106.78862358011,9.79863607450261,6,0.00545891715013896
"m_evi_2000_2010_h13_16d",0.681667812528313,0.755946420773682,2106.81347531446,9.82348780885332,6,0.0053915050648975
"m_sr_2000_2010_h12_full",0.668285974981372,0.757280911852068,2107.69714420543,10.7071566998206,6,0.00346596167313252
"m_sr_2005_2015_h12_16d",0.658686992459324,0.767954660209496,2108.31197842319,11.3219909175882,6,0.00254867349146659
"m_sr_2005_2015_h13_full",0.65728034515302,0.763011429529054,2111.09397800692,14.1039905013172,6,0.000634177263962238
"m_tcg_2005_2015_h13_16d",0.66141379459923,0.76716723174865,2111.18557145931,14.195583953705,6,0.000605789027077645
"m_ndvi_2005_2015_h13_16d",0.668224554101653,0.759322235828233,2111.18846566044,14.1984781548363,6,0.000604913023419457
"m_tcg_2005_2015_h12_full",0.668669437128265,0.750241631212942,2111.35224399845,14.3622564928423,6,0.000557351174289893
"m_tcg_2000_2010_h12_16d",0.672177504112745,0.743732656357595,2111.64949514554,14.6595076399367,6,0.000480376389879497
"m_tcg_2000_2010_h12_full",0.674696522426525,0.741837365181542,2111.75654554224,14.7665580366315,6,0.000455340159920631
"m_ndvi_2005_2015_h13_full",0.665921146648694,0.761922926539655,2111.90828778455,14.9183002789496,6,0.000422071032232127
"m_sr_2005_2015_h12_full",0.656545594244328,0.757840642991165,2112.05311181865,15.063124313041,6,0.00039258834929996
"m_tcg_2005_2015_h13_full",0.666081408081192,0.756612725754274,2112.06321048988,15.0732229842765,6,0.000390611035227015
"m_evi_2005_2015_h13_full",0.663785157967004,0.755662359654439,2112.29242990507,15.3024423994698,6,0.000348313369774459
"m_evi_2005_2015_h13_16d",0.655487456100308,0.76666416519722,2112.47599938383,15.4860118782258,6,0.000317766813546949
"m_evi_2000_2010_h12_full",0.67316667779418,0.739735103073768,2112.47688344572,15.4868959401119,6,0.000317626381822548
"m_reanalysis",0.657128874395418,0.764795145680156,2112.55581613586,15.5658286302528,6,0.000305334973294867
"m_evi_2000_2010_h12_16d",0.671962265164395,0.741340440578921,2112.70964457683,15.7196570712294,6,0.000282730805195176
"m_evi_2005_2015_h12_full",0.663147698072413,0.74613231744491,2113.58258831171,16.5926008061033,6,0.00018273250444198
"m_tcg_2005_2015_h12_16d",0.656405670011989,0.760360801214372,2113.68859246189,16.6986049562865,6,0.000173299495230902
"m_ndvi_2000_2010_h12_16d",0.660027027326454,0.750232536795839,2114.91960255132,17.9296150457117,6,9.36454871550488e-05
"m_evi_2005_2015_h12_16d",0.647914535114738,0.75759074561149,2116.30456797681,19.3145804712071,6,4.68538661223307e-05
"m_ndvi_2000_2010_h12_full",0.667872179545438,0.73785608166943,2116.91770284823,19.9277153426265,6,3.44829876511795e-05
"m_ndvi_2005_2015_h12_full",0.642838860504589,0.736814540910648,2124.44264092293,27.4526534173219,6,8.00913004449091e-07
"m_ndvi_2005_2015_h12_16d",0.632642473618995,0.742439034267923,2125.98239389568,28.9924063900739,6,3.70878993420001e-07
