"baseline","R2_marginal","R2_conditional","AIC","dAIC","df","weight"
"m_sr_2000_2010_h13_16d",0.456490894656598,0.734019017501484,1238.47592749918,0,4,0.192955141507407
"m_sr_2000_2010_h13_full",0.448768672057947,0.733780869583596,1239.16985264687,0.693925147687196,4,0.136386826471343
"m_sr_2000_2010_h12_16d",0.43736901280625,0.740497567189389,1240.03708661006,1.56115911087818,4,0.0884005489112493
"m_sr_2005_2015_h13_16d",0.439907268863497,0.742223041224777,1240.53560136368,2.0596738645022,4,0.0688975626502141
"m_sr_2005_2015_h12_16d",0.443602434824817,0.744413312028979,1241.08065823679,2.6047307376125,4,0.0524621714284294
"m_sr_2000_2010_h12_full",0.432761713515067,0.728518978750501,1241.28809314161,2.81216564242868,4,0.0472935968532317
"m_evi_2000_2010_h13_full",0.446718379286343,0.690806189601917,1241.44994318797,2.97401568878649,4,0.0436171268146943
"m_tcg_2000_2010_h13_full",0.452633530950302,0.688933212635314,1241.61359198053,3.13766448135448,4,0.0401902927984123
"m_tcg_2000_2010_h13_16d",0.452963467787705,0.698959412876918,1241.64975181708,3.17382431790384,4,0.0394701849505384
"m_ndvi_2000_2010_h13_16d",0.437719923595191,0.714477510128104,1241.71853795711,3.24261045793378,4,0.0381357630845453
"m_tcg_2005_2015_h12_full",0.435515374409778,0.719288195811011,1241.99984494672,3.52391744753686,4,0.0331319810472502
"m_tcg_2000_2010_h12_16d",0.428707250572864,0.709453232353976,1242.00224610358,3.52631860439669,4,0.0330922273739408
"m_evi_2000_2010_h13_16d",0.448811545371614,0.699946909319532,1242.01397862358,3.53805112440364,4,0.0328986680537998
"m_sr_2005_2015_h12_full",0.432131459035528,0.742551486722483,1242.10277992908,3.62685242989755,4,0.0314698995618171
"m_evi_2000_2010_h12_16d",0.4254017071061,0.711458227504303,1242.70159789358,4.22567039439923,4,0.0233272577484602
"m_tcg_2000_2010_h12_full",0.426017024923098,0.692623676082391,1243.45850186094,4.98257436175959,4,0.0159773253835691
"m_sr_2005_2015_h13_full",0.408270309186858,0.73093260956135,1243.93115427296,5.45522677378358,4,0.0126144672228047
"m_evi_2005_2015_h12_full",0.414216988512293,0.711413712685306,1243.95233055307,5.47640305388859,4,0.0124816080839664
"m_evi_2000_2010_h12_full",0.415350715711015,0.691853663651066,1244.07166170863,5.59573420944685,4,0.0117586675178229
"m_ndvi_2000_2010_h13_full",0.396283407878114,0.706760667873327,1244.51789661163,6.04196911245117,4,0.00940717953667206
"m_tcg_2005_2015_h12_16d",0.398065362536424,0.729583996516928,1244.66680835209,6.19088085290787,4,0.00873219969722981
"m_ndvi_2000_2010_h12_16d",0.389406579687707,0.731691059130711,1244.75889908407,6.28297158489113,4,0.00833923880666409
"m_tcg_2005_2015_h13_16d",0.376194519373358,0.715910742546053,1246.0482662876,7.57233878841703,4,0.00437667078341192
"m_tcg_2005_2015_h13_full",0.386642809379356,0.698228228340597,1246.26836856597,7.79244106679312,4,0.00392057058681226
"m_evi_2005_2015_h12_16d",0.373500436724622,0.720098632733879,1246.90240060363,8.42647310445386,4,0.00285542639505917
"m_evi_2005_2015_h13_full",0.3752404805864,0.690204968067288,1247.21502410343,8.73909660425238,4,0.00244222481269172
"m_reanalysis",0.353445264112778,0.707565456718774,1247.79466091865,9.31873341947039,4,0.00182775972829874
"m_evi_2005_2015_h13_16d",0.355776992637556,0.704948522276363,1247.94781393677,9.47188643759182,4,0.0016930210145264
"m_ndvi_2000_2010_h12_full",0.35302744861141,0.703175943625642,1249.2275366851,10.7516091859241,4,0.000892840916943563
"m_ndvi_2005_2015_h13_16d",0.354532487187751,0.68210254898023,1250.02397663293,11.5480491337476,4,0.000599555439591699
"m_ndvi_2005_2015_h13_full",0.322423016282419,0.67523585681015,1252.02504678618,13.5491192869954,4,0.000220446132932463
"m_ndvi_2005_2015_h12_full",0.318743250663645,0.673825561106684,1254.02416866459,15.5482411654116,4,8.11332147860755e-05
"m_ndvi_2005_2015_h12_16d",0.308102831074213,0.680201771388218,1254.97575734615,16.4998298469675,4,5.04154708843437e-05
