"baseline","R2_marginal","R2_conditional","AIC","dAIC","df","weight"
"m_reanalysis",0.190059098903973,0.807681319149961,1045.95361857457,0,7,0.29562185306396
"m_tcg_2005_2015_h13_16d",0.200934270492262,0.808631642127523,1047.48171736758,1.52809879301412,7,0.13769370889525
"m_tcg_2005_2015_h12_16d",0.202688775574731,0.808987920542227,1048.47513507566,2.5215165010909,7,0.083790770451932
"m_tcg_2000_2010_h12_full",0.180568127271027,0.795734465249006,1048.58400881201,2.63039023744295,7,0.079351392483223
"m_sr_2000_2010_h12_16d",0.208235586796087,0.785289315119792,1048.84933924093,2.89572066636333,7,0.0694926353647476
"m_tcg_2000_2010_h12_16d",0.165555846516381,0.79673517382748,1049.41446790824,3.46084933367433,7,0.0523868940935771
"m_sr_2000_2010_h13_16d",0.204409167989008,0.788336031000979,1049.59628656232,3.64266798775793,7,0.0478344992253571
"m_tcg_2000_2010_h13_16d",0.174200285437633,0.802215477728179,1050.12524047668,4.17162190211593,7,0.0367181125432948
"m_evi_2005_2015_h13_16d",0.170452292287751,0.806299482422384,1050.12840456655,4.17478599198103,7,0.0366600687654516
"m_tcg_2000_2010_h13_full",0.169582973464184,0.797334197707113,1050.46237995215,4.5087613775861,7,0.031022117733899
"m_sr_2005_2015_h13_16d",0.193826501796608,0.788052339868147,1051.74841917187,5.79480059730258,7,0.016308408203391
"m_evi_2000_2010_h13_16d",0.158314601551547,0.805199762750575,1051.86213012442,5.90851154985353,7,0.0154070521934019
"m_evi_2005_2015_h12_16d",0.164865033611533,0.806162784199091,1052.00791278456,6.05429420998939,7,0.0143239650069674
"m_evi_2000_2010_h12_16d",0.144536633990363,0.79914130526898,1052.12643165387,6.17281307929989,7,0.0134997960039652
"m_evi_2000_2010_h12_full",0.141187110633592,0.795043781702645,1052.54639554929,6.59277697471998,7,0.0109429195075983
"m_tcg_2005_2015_h12_full",0.172317385076989,0.789446777499841,1052.81021572985,6.85659715528436,7,0.00959059121894947
"m_evi_2000_2010_h13_full",0.140855583178642,0.79771532408348,1052.94893539419,6.99531681962571,7,0.00894793432838169
"m_tcg_2005_2015_h13_full",0.166878514429469,0.790445361202681,1053.06919289154,7.11557431697838,7,0.00842576232372793
"m_sr_2000_2010_h12_full",0.175081970864472,0.78477458596262,1053.37283005277,7.41921147820153,7,0.00723894425811207
"m_sr_2005_2015_h13_full",0.189620081707636,0.775785262670299,1053.95950104564,8.00588247107839,7,0.00539860117649593
"m_sr_2000_2010_h13_full",0.169128308262112,0.784924419931204,1054.41386927124,8.46025069667644,7,0.00430146544509362
"m_ndvi_2000_2010_h13_16d",0.148828577727576,0.802598649123634,1054.91992962048,8.9663110459162,7,0.00333984898269584
"m_sr_2005_2015_h12_full",0.17995217114878,0.776346928093222,1054.99673989719,9.0431213226243,7,0.00321401345233859
"m_evi_2005_2015_h13_full",0.137259871961291,0.790372757400119,1055.40235777482,9.44873920025407,7,0.00262403055128886
"m_sr_2005_2015_h12_16d",0.16926313766786,0.785371045000735,1055.43805955346,9.48444097889455,7,0.00257760487495484
"m_evi_2005_2015_h12_full",0.131767391415976,0.789378322070968,1056.47563738337,10.5220188088088,7,0.00153429610102548
"m_ndvi_2000_2010_h12_16d",0.10707147336323,0.784511748174884,1058.3403767011,12.3867581265317,7,0.000603929415818909
"m_ndvi_2005_2015_h13_16d",0.102612254846237,0.801001845257405,1058.48993581292,12.5363172383509,7,0.000560415108311162
"m_ndvi_2005_2015_h13_full",0.0999441241430255,0.794131137835088,1059.88203333976,13.9284147651902,7,0.000279395687138601
"m_ndvi_2000_2010_h13_full",0.0905898854154841,0.793983053086776,1060.48735116235,14.533732587784,7,0.000206431801598933
"m_ndvi_2000_2010_h12_full",0.0776257663271099,0.785962956226349,1062.51311857833,16.5595000037599,7,7.49698768806165e-05
"m_ndvi_2005_2015_h12_full",0.0581486284299917,0.791141935817813,1065.71202743542,19.7584088608514,7,1.51444172049582e-05
"m_ndvi_2005_2015_h12_16d",0.0575310688163721,0.797043954595183,1066.10747686067,20.1538582861026,7,1.24274439658575e-05
