"baseline","R2_marginal","R2_conditional","AIC","dAIC","df","weight"
"m_tcg_2005_2015_h13_16d",0.184058446545882,0.831548797760726,519.495962737818,0,4,0.265099029867017
"m_evi_2005_2015_h13_16d",0.163177518363009,0.827034070711663,520.797613813187,1.30165107536959,4,0.13827962678995
"m_sr_2000_2010_h13_16d",0.134468345332198,0.802701902013338,521.444318896333,1.94835615851559,4,0.100075547377082
"m_sr_2000_2010_h12_16d",0.133278508866554,0.792019541432576,521.652699473507,2.15673673568904,4,0.0901734543376326
"m_sr_2005_2015_h13_16d",0.149173406725475,0.805910265620764,521.850487097156,2.3545243593386,4,0.0816826219916742
"m_tcg_2005_2015_h12_16d",0.133913766194569,0.800021754737858,523.299470931218,3.80350819340038,4,0.0395810060142979
"m_tcg_2005_2015_h13_full",0.129592593750695,0.802776309861662,523.618537957667,4.12257521984952,4,0.0337444461029772
"m_tcg_2000_2010_h13_16d",0.0853243726236385,0.807845069402489,524.284936390123,4.78897365230512,4,0.0241821952193036
"m_sr_2005_2015_h12_16d",0.11373758510739,0.788176460892078,524.819728703306,5.32376596548841,4,0.018508322042022
"m_ndvi_2000_2010_h13_16d",0.106415466535832,0.815142979488534,524.949618095871,5.45365535805365,4,0.0173445055764004
"m_sr_2005_2015_h13_full",0.113995211479137,0.769096944264316,525.007424875267,5.51146213744903,4,0.0168503661252793
"m_evi_2005_2015_h12_16d",0.107372810546517,0.79217883820123,525.097753883645,5.60179114582695,4,0.0161062578189104
"m_evi_2000_2010_h13_16d",0.0736444826645403,0.817027226444592,525.104824677846,5.60886194002876,4,0.016049416339517
"m_tcg_2000_2010_h13_full",0.0788736982793753,0.80396519111807,525.19125753826,5.69529480044275,4,0.0153705916951881
"m_evi_2005_2015_h13_full",0.101782516175007,0.800597823431786,525.386819228054,5.89085649023639,4,0.0139387845315455
"m_sr_2000_2010_h13_full",0.0870536497494147,0.784725706413772,525.397990922174,5.90202818435671,4,0.0138611416654177
"m_tcg_2000_2010_h12_full",0.0799284088094453,0.786967178991432,525.424136519737,5.92817378191967,4,0.0136811170263002
"m_reanalysis",0.0935703132949609,0.799007298947323,525.613928302308,6.11796556449019,4,0.0124425328456849
"m_sr_2000_2010_h12_full",0.0896252919030817,0.773076582608508,525.626836927282,6.13087418946418,4,0.0123624834603351
"m_tcg_2000_2010_h12_16d",0.0663748717554241,0.787873378481006,525.782394445558,6.28643170774046,4,0.0114373875621293
"m_tcg_2005_2015_h12_full",0.0928057715855005,0.777585185483861,526.096748113567,6.60078537574896,4,0.00977385306922319
"m_sr_2005_2015_h12_full",0.0909108380334752,0.757154289607289,526.588075961489,7.09211322367128,4,0.00764496179476898
"m_evi_2000_2010_h13_full",0.055611229397598,0.807794127547111,526.917818372191,7.42185563437374,4,0.00648294988926376
"m_evi_2000_2010_h12_16d",0.0479392213594313,0.792262582555251,527.203473673684,7.70751093586682,4,0.00562009173011343
"m_evi_2000_2010_h12_full",0.049052274314571,0.789396114900956,527.620685827715,8.12472308989743,4,0.004561912341917
"m_ndvi_2000_2010_h12_16d",0.0575307634146191,0.768778295500031,528.058301424217,8.56233868639936,4,0.00366538768680115
"m_evi_2005_2015_h12_full",0.060436309335455,0.774323391234149,528.127803977534,8.6318412397161,4,0.00354019862359557
"m_ndvi_2005_2015_h13_16d",0.0479425488431046,0.796879089653055,528.715834833987,9.21987209616975,4,0.0026383861032724
"m_ndvi_2000_2010_h13_full",0.0319116964424289,0.795119878656697,529.643671610674,10.1477088728568,4,0.00165905641716764
"m_ndvi_2005_2015_h13_full",0.0349557535055874,0.783920053935471,529.926895244418,10.4309325066008,4,0.00143999148516367
"m_ndvi_2000_2010_h12_full",0.0268205310662507,0.772072891040438,530.283440296599,10.7874775587812,4,0.00120486156243833
"m_ndvi_2005_2015_h12_16d",0.00305223907920744,0.778697226301404,531.96751438053,12.4715516427127,4,0.000519092923979479
"m_ndvi_2005_2015_h12_full",0.000823779088731916,0.779682415259813,532.130693895394,12.6347311575767,4,0.000478421983629698
