"model","AIC","dAIC","df","weight"
"m_tcg_2005_2015_h13_full",-687.856939060332,0,4,0.951797859101584
"m_reanalysis",-681.690873985343,6.16606507498886,4,0.0436114679381755
"m_evi_2005_2015_h13_full",-677.188262225148,10.6686768351834,4,0.00459061619242269
"m_tcg_2005_2015_h13_16d",-653.952411204412,33.9045278559195,4,4.13304414418863e-08
"m_tcg_2005_2015_h12_full",-651.381493311886,36.475445748446,4,1.14288443174498e-08
"m_tcg_2000_2010_h13_full",-647.893628158846,39.9633109014861,4,1.99812209424542e-09
"m_sr_2000_2010_h12_16d",-645.600480870787,42.2564581895449,4,6.34850426001775e-10
"m_sr_2000_2010_h13_16d",-644.923946364661,42.9329926956711,4,4.52651343719977e-10
"m_tcg_2000_2010_h13_16d",-644.624431985086,43.2325070752454,4,3.89695232575021e-10
"m_evi_2005_2015_h13_16d",-644.107499604705,43.7494394556268,4,3.00936352379934e-10
"m_evi_2005_2015_h12_full",-643.58431361919,44.2726254411417,4,2.3166811200428e-10
"m_evi_2000_2010_h13_full",-631.056726402513,56.8002126578191,4,4.41098173530942e-13
"m_evi_2000_2010_h13_16d",-627.329962417459,60.5269766428723,4,6.84350741971447e-14
"m_sr_2000_2010_h13_full",-626.610732134655,61.2462069256763,4,4.77639099548331e-14
"m_sr_2000_2010_h12_full",-625.838203330699,62.0187357296327,4,3.24599145782084e-14
"m_ndvi_2005_2015_h13_full",-623.91444425394,63.942494806392,4,1.24053321477986e-14
"m_tcg_2000_2010_h12_full",-622.30801514621,65.5489239141222,4,5.55618564764321e-15
"m_tcg_2005_2015_h12_16d",-617.205859924514,70.6510791358182,4,4.33368977154475e-16
"m_tcg_2000_2010_h12_16d",-615.551990095675,72.3049489646571,4,1.89550331710676e-16
"m_evi_2005_2015_h12_16d",-612.685038272557,75.1719007877748,4,4.52036881791118e-17
"m_sr_2005_2015_h13_full",-609.009197348423,78.8477417119084,4,7.19407822116222e-18
"m_sr_2005_2015_h13_16d",-607.974991455136,79.881947605196,4,4.28943606827071e-18
"m_sr_2005_2015_h12_16d",-604.162778711344,83.6941603489879,4,6.3765933226416e-19
"m_evi_2000_2010_h12_full",-602.129193871061,85.7277451892705,4,2.30675453314189e-19
"m_sr_2005_2015_h12_full",-601.029651396953,86.827287663379,4,1.33118608171046e-19
"m_evi_2000_2010_h12_16d",-598.738226374803,89.1187126855289,4,4.23313527175959e-20
"m_ndvi_2005_2015_h13_16d",-593.560025497446,94.2969135628859,4,3.17855779971906e-21
"m_ndvi_2000_2010_h13_16d",-585.951845807935,101.905093252397,4,7.08165695170994e-23
"m_ndvi_2000_2010_h13_full",-585.137895016711,102.71904404362,4,4.71397979077561e-23
"m_ndvi_2005_2015_h12_full",-584.377923394723,103.479015665609,4,3.22375460426705e-23
"m_ndvi_2000_2010_h12_16d",-574.987829460092,112.869109600239,4,2.94665292679546e-25
"m_ndvi_2000_2010_h12_full",-573.680931988709,114.176007071623,4,1.53299170578269e-25
"m_ndvi_2005_2015_h12_16d",-556.780768711956,131.076170348376,4,3.27880793873736e-29
