system:index,Block,BlockID,FragSize,Hunted,PointID,Site,SiteID,SizeClass,Year,m_evi_2000_2010_h12_16d,m_evi_2000_2010_h12_full,m_evi_2000_2010_h13_16d,m_evi_2000_2010_h13_full,m_evi_2005_2015_h12_16d,m_evi_2005_2015_h12_full,m_evi_2005_2015_h13_16d,m_evi_2005_2015_h13_full,m_ndvi_2000_2010_h12_16d,m_ndvi_2000_2010_h12_full,m_ndvi_2000_2010_h13_16d,m_ndvi_2000_2010_h13_full,m_ndvi_2005_2015_h12_16d,m_ndvi_2005_2015_h12_full,m_ndvi_2005_2015_h13_16d,m_ndvi_2005_2015_h13_full,m_reanalysis,m_sr_2000_2010_h12_16d,m_sr_2000_2010_h12_full,m_sr_2000_2010_h13_16d,m_sr_2000_2010_h13_full,m_sr_2005_2015_h12_16d,m_sr_2005_2015_h12_full,m_sr_2005_2015_h13_16d,m_sr_2005_2015_h13_full,m_tcg_2000_2010_h12_16d,m_tcg_2000_2010_h12_full,m_tcg_2000_2010_h13_16d,m_tcg_2000_2010_h13_full,m_tcg_2005_2015_h12_16d,m_tcg_2005_2015_h12_full,m_tcg_2005_2015_h13_16d,m_tcg_2005_2015_h13_full,.geo
00000000000000000063,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,-3.3910292881988617,-2.9505657394535048,-2.8680130540895714,-2.278568115393674,-3.059755894769377,-2.8253940011359404,-3.007276758579516,-2.614531073679887,-2.8604963405130364,-2.552086175313488,-2.6004027403833287,-2.0909906378439254,-2.946966255136638,-2.5403427807757306,-3.097910792585352,-2.418537042582116,-3.4790332317352295,-3.3020437415476227,-2.790986612145285,-2.69131050045049,-2.0896891339465116,-4.08366929686461,-3.6738624081549753,-3.5431532013133817,-2.8852575731446155,-3.4935376768210498,-3.093967104772725,-3.1354029798010443,-2.520366716502347,-3.339677517415926,-3.1043951505221425,-3.503174524987962,-3.0803109511607687,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000064,Beaver_Brook,BB,28.6323,false,BB_BBS_6,Beaver_Brook_small,BBS,small,2017,-3.005424911391804,-2.753249188716455,-2.2702839259926093,-1.9782383217535513,-2.8190860750313997,-2.7284707752126622,-2.3649969019759935,-2.2056395908640587,-1.7663613392917712,-1.7547007358057323,-1.3711114746310131,-1.3332920304125753,-1.8312635299236102,-1.7797136074912805,-1.829253354887085,-1.6664107796202807,-3.1243553161621094,-2.1240541105764086,-2.128479056485963,-1.5642747782107371,-1.5776823177754873,-2.7029324656160556,-2.6940935209623667,-2.2844437594237976,-2.1289001977998763,-3.068835961952872,-2.823758869756579,-2.3905625475531895,-2.0982395912160166,-3.0647409051413375,-2.950641496360265,-2.724024261689891,-2.5468691489032924,"{""type"":""Point"",""coordinates"":[-72.1221068761769,41.76742302449683]}"
00000000000000000065,Beaver_Brook,BB,28.6323,false,BB_BBS_7,Beaver_Brook_small,BBS,small,2017,-3.212696793309826,-2.7911156767796554,-2.7490539975235357,-2.1045434215093834,-2.840488595784759,-2.6930356884324684,-2.7168373161036246,-2.3831236981950408,-2.121942531478824,-1.8046800057317818,-2.01622349387026,-1.4703554838631736,-2.1466652177140197,-1.8133318218091703,-2.473028269918382,-1.8765103105091248,-4.013066291809082,-2.8069232049762793,-2.2839781753431976,-2.2743924482458056,-1.6786035955961442,-3.3573088587730626,-2.968423010173341,-3.0176702319332764,-2.44073158422772,-3.238893022015268,-2.9263408290819557,-2.8230339420198254,-2.234894972693519,-3.090268650058371,-2.9691456269360432,-3.079422142048804,-2.7826375231061995,"{""type"":""Point"",""coordinates"":[-72.12212471258113,41.76629487193031]}"
0000000000000000003b,Wallingford,WF,8.64,false,WF_CKS_8,Choate_KollerEC,CKS,small,2017,0.3635999773760375,0.16298984800202188,0.8221864902614366,0.39785505648045477,-0.24363268965225743,-0.0033381168899415917,-0.17782764791325154,0.02385148724803534,0.09734738992188563,0.2737130352178624,0.5635171153937031,0.4465253904967257,-0.03413380253987714,0.03194118549197257,-0.056798616463239776,-0.009602458989112926,0.039055392146110535,1.6360569651733643,0.9061065682977502,1.7538192822728829,0.9875532559466751,-0.09119482300860365,0.020657924371828687,0.1711722223587908,0.15376046524191161,0.41312826610666725,0.2605032522665992,0.9149866683954817,0.5341948988405159,-0.31416908364306717,-0.13815008348660718,-0.22024131176071413,-0.11022216655398395,"{""type"":""Point"",""coordinates"":[-72.79461511975445,41.45961573787852]}"
0000000000000000003c,Wallingford,WF,8.64,false,WF_CKS_9,Choate_KollerEC,CKS,small,2017,0.3565866066680281,0.36357053765591907,0.891998313597207,0.7690282085459699,-0.2932495933900387,0.04956138202708433,-0.1323525437608587,0.19064201742598477,0.11745252868703189,0.29185231057632943,0.5822373513339489,0.6185026709498816,-0.3375436885622613,-0.0759470886655179,-0.3741628720413705,0.018095078564204083,0.6172418594360352,1.3963794537383643,0.8771844038597827,1.5778120740775998,1.0829450566928844,-0.3914853989596643,-0.059516259784915454,-0.07188952854830649,0.15535349490123976,0.2910890053196204,0.3823892425990722,0.8561032298192521,0.8229532508036811,-0.3144604903365225,-9.312391993723493E-4,-0.15401298600005764,0.13989513578466317,"{""type"":""Point"",""coordinates"":[-72.79166319485707,41.4584296169983]}"
0000000000000000003a,Wallingford,WF,8.64,false,WF_CKS_10,Choate_KollerEC,CKS,small,2017,-0.17658621429895432,-0.28125253623057866,0.3168925036765049,-0.052214713957980274,-0.28227834813551184,0.04452054081431121,-0.0572692831424423,0.19778152944704827,-0.2481178282282696,-0.1247006786449521,0.08541764114275828,0.019863378611606336,0.04180435954441634,0.2521573918632053,0.15708436209010368,0.37472195586023976,-0.2552137639787462,0.35702090103765266,-0.08610652984950593,0.7612642489461661,0.19999177934496024,-0.20792016721067755,-0.04975045719053476,0.1114510692244646,0.1699493820558937,-0.3365482583215349,-0.30398484326209996,0.13918089651223933,-0.061303769255337696,-0.43110079451235284,-0.1371884103135696,-0.19458091632799782,0.02416588972210205,"{""type"":""Point"",""coordinates"":[-72.79451701953127,41.45709634578333]}"
00000000000000000034,Storrs,ST,189.06,false,ST_FNM_5,Fenton,FNM,medium,2017,-0.8332107319372897,-0.66530568853979,-0.34586841512092864,-0.3092279665600584,-0.9926839565268591,-0.7645066784227913,-0.6987165369528192,-0.504737916256833,-0.40732505755960335,-0.3214092583689296,0.006063508335372868,-0.025543161183965362,-0.5531969031396603,-0.347807834433028,-0.5121271843613181,-0.19343003980418047,-0.6871356282915387,0.25002779615260734,-0.1693670738666821,0.48350070257236677,0.09887906081858726,-1.1944327080959507,-0.7582741631998251,-0.7479276148566345,-0.3970769315188955,-0.7782394828628547,-0.6071177495640114,-0.3336587867494826,-0.27888520245128484,-1.2057808504442835,-0.925565100412835,-0.9788606890526188,-0.7394054865617568,"{""type"":""Point"",""coordinates"":[-72.24842874991997,41.825212974149494]}"
00000000000000000035,Storrs,ST,189.06,false,ST_FNM_6,Fenton,FNM,medium,2017,-0.8369855464300826,-0.6351717598593767,-0.4986018319929182,-0.27927951808055823,-1.037002965344522,-0.7930693758248988,-0.8594597422019632,-0.5971703680067565,-0.5156977699320237,-0.33890287350450515,-0.2952588206014821,-0.11898566850442462,-0.7165874525439845,-0.4572981807487391,-0.8393818383777014,-0.4101055988978747,-0.6401142756144206,-0.20955778765889105,-0.31173454296911446,-1.9099863575992396E-4,-0.06664973555006766,-1.7130466367700392,-0.908244361764902,-1.2621264749103915,-0.5796339714650709,-0.7653672401827302,-0.49308136089216215,-0.43422949405003736,-0.14745204918327387,-1.167595196823656,-0.8515220283998047,-1.0426365064954541,-0.7132764862669738,"{""type"":""Point"",""coordinates"":[-72.24739869757663,41.82603344874333]}"
00000000000000000036,Storrs,ST,189.06,false,ST_FNM_7,Fenton,FNM,medium,2017,-0.7310419086452792,-0.568397477783678,-0.4923725133185611,-0.35007667738452497,-0.781050438191135,-0.6155687925475284,-0.6566775128977173,-0.4866171804921583,-0.24843387562387528,-0.2616894386348055,-0.0826337691106289,-0.09254678155369962,-0.5542012133542265,-0.3584861113994569,-0.662533967674823,-0.33634186339927463,-0.8124346051897321,0.1734403897500289,-0.30058008431735506,0.2976590371418774,-0.10227020376296844,-1.2117753613454398,-0.7662446457150737,-0.9415807026106214,-0.49585820073701825,-0.6077551147605871,-0.4450065140166076,-0.4005768770364039,-0.23071251648550525,-0.9369186894810889,-0.693672813123494,-0.8493531243677791,-0.5890324677506655,"{""type"":""Point"",""coordinates"":[-72.24696616477445,41.82495880538945]}"
00000000000000000075,BishopSwamp,BS,560.578,false,BS_GCL_5,GayCityStatePark,GCL,large,2017,-2.523377357952918,-2.2530321255196517,-2.2492241979612038,-1.8602046081144281,-1.901075993059031,-1.8000901957427415,-1.672173914215069,-1.6333236717125097,-1.3980142577923576,-1.122848643609705,-1.2909204645215335,-0.9472891624149725,-1.3415882481670034,-1.07308415384824,-1.4517670875932636,-1.1190680285887362,-1.7428326076931424,-2.4667951773652144,-2.0385664759695308,-2.015533218808417,-1.5592845312686174,-2.8962311383144135,-2.2758466856072497,-2.427838309287218,-1.8785340835280409,-2.642393028439053,-2.3558817354354007,-2.469951993627973,-1.9873343183428138,-2.1617536093075786,-2.017368718352386,-2.0274982960887957,-1.923629799998068,"{""type"":""Point"",""coordinates"":[-72.45437679117443,41.72176182970956]}"
