"baseline","R2_marginal","R2_conditional","AIC","dAIC","df","weight"
"m_reanalysis",0.201019074191532,0.802008588678343,1045.45450423146,0,6,0.289893253184998
"m_tcg_2005_2015_h13_16d",0.210991197256899,0.803001540444095,1046.91306211612,1.45855788465929,6,0.139802934519892
"m_tcg_2000_2010_h12_full",0.194176035015657,0.790676831589665,1047.71100734993,2.25650311847062,6,0.093809037831334
"m_sr_2000_2010_h12_16d",0.221216448991002,0.778544561579753,1048.6810653431,3.22656111164201,6,0.0577562868645045
"m_tcg_2000_2010_h12_16d",0.177701113517327,0.791261844719204,1048.73976778698,3.28526355552117,6,0.0560857059965102
"m_tcg_2000_2010_h13_16d",0.186078923295727,0.800038775208349,1048.80396164502,3.34945741355591,6,0.0543141105496588
"m_sr_2000_2010_h13_16d",0.217524087273743,0.783722130019808,1049.03474772423,3.58024349276707,6,0.0483947344945186
"m_tcg_2000_2010_h13_full",0.182626533233451,0.794369706933587,1049.0955160903,3.6410118588401,6,0.0469464144564026
"m_tcg_2005_2015_h12_16d",0.208542304701834,0.79993942545287,1049.10114849788,3.64664426642253,6,0.0468143897774847
"m_evi_2005_2015_h13_16d",0.179947715295273,0.799065767726845,1049.729282687,4.27477845553494,6,0.0341965080476207
"m_evi_2000_2010_h13_16d",0.169428453213283,0.80254995769381,1050.67163332501,5.21712909354892,6,0.0213477898834759
"m_sr_2005_2015_h13_16d",0.206579582455724,0.784015328303781,1050.8971685323,5.44266430084122,6,0.0190712241944507
"m_evi_2000_2010_h12_16d",0.154403175778063,0.793097967711541,1051.66460580454,6.21010157307751,6,0.0129936655875389
"m_evi_2000_2010_h13_full",0.152816909952108,0.793808344930335,1051.77141808307,6.31691385161002,6,0.0123179289214338
"m_evi_2000_2010_h12_full",0.15207092040657,0.789064366591326,1051.93888553237,6.48438130091358,6,0.0113285049607532
"m_tcg_2005_2015_h13_full",0.178824037973546,0.785066240043529,1052.18440639956,6.72990216810172,6,0.0100197854044065
"m_tcg_2005_2015_h12_full",0.18186265110333,0.78133289966636,1052.7370824272,7.28257819573582,6,0.00760057319531449
"m_evi_2005_2015_h12_16d",0.168450618420338,0.795128375030765,1052.87909541126,7.42459117980343,6,0.00707959832862105
"m_sr_2000_2010_h12_full",0.188136896041976,0.77825201002051,1052.9666211194,7.51211688793569,6,0.00677645645645539
"m_sr_2005_2015_h13_full",0.201829972249026,0.769382137492111,1053.56989649441,8.1153922629519,6,0.00501190775119269
"m_sr_2000_2010_h13_full",0.183749158178947,0.780010501578968,1053.59193505613,8.1374308246684,6,0.0049569833017773
"m_ndvi_2000_2010_h13_16d",0.156305870198957,0.799187625930921,1054.23987626245,8.78537203098654,6,0.00358524476780428
"m_evi_2005_2015_h13_full",0.148309356192446,0.783921456255128,1054.66521345461,9.21070922315289,6,0.00289839794380957
"m_sr_2005_2015_h12_16d",0.178795911965857,0.779090394052955,1055.20337364382,9.74886941235968,6,0.00221461385522456
"m_sr_2005_2015_h12_full",0.187191234644153,0.767854804471185,1055.29606252893,9.84155829747033,6,0.00211432077430151
"m_evi_2005_2015_h12_full",0.138823763067583,0.780260154663174,1056.58024930197,11.1257450705107,6,0.0011125339233553
"m_ndvi_2005_2015_h13_16d",0.110385173040057,0.795154659330039,1057.97409121149,12.5195869800289,6,0.000554171691794171
"m_ndvi_2000_2010_h12_16d",0.112694405120029,0.777072998020988,1058.37699030979,12.9224860783243,6,0.000453060197320792
"m_ndvi_2005_2015_h13_full",0.107240102991346,0.787253491015396,1059.57143901543,14.1169347839723,6,0.000249335816815898
"m_ndvi_2000_2010_h13_full",0.099469121101347,0.788734991735484,1059.81743715156,14.3629329200996,6,0.000220478808057334
"m_ndvi_2000_2010_h12_full",0.0845795536008075,0.778944533322027,1062.30895907586,16.8544548444017,6,6.3436577009962e-05
"m_ndvi_2005_2015_h12_full",0.0612312020103061,0.781619983676802,1066.153094498,20.6985902665392,6,9.28103349381224e-06
"m_ndvi_2005_2015_h12_16d",0.0597002214733975,0.787613064711166,1066.62484300403,21.1703387725649,6,7.33090266850267e-06
