"baseline","R2_marginal","R2_conditional","AIC","dAIC","df","weight"
"m_tcg_2005_2015_h13_full",0.596694167475037,0.627267744964682,-687.856939060332,0,4,0.951797859101584
"m_reanalysis",0.588426413722466,0.639924518412848,-681.690873985343,6.16606507498886,4,0.0436114679381755
"m_evi_2005_2015_h13_full",0.56750779148091,0.608240684055409,-677.188262225148,10.6686768351834,4,0.00459061619242269
"m_tcg_2005_2015_h13_16d",0.549894883937946,0.576990724070092,-653.952411204412,33.9045278559195,4,4.13304414418863e-08
"m_tcg_2005_2015_h12_full",0.531894035110058,0.566403237492564,-651.381493311886,36.475445748446,4,1.14288443174498e-08
"m_tcg_2000_2010_h13_full",0.54963927029901,0.570124748584544,-647.893628158846,39.9633109014861,4,1.99812209424542e-09
"m_sr_2000_2010_h12_16d",0.464074691516065,0.609062219003173,-645.600480870787,42.2564581895449,4,6.34850426001775e-10
"m_sr_2000_2010_h13_16d",0.470845211266675,0.598354428995756,-644.923946364661,42.9329926956711,4,4.52651343719977e-10
"m_tcg_2000_2010_h13_16d",0.539748612354721,0.593571180626397,-644.624431985086,43.2325070752454,4,3.89695232575021e-10
"m_evi_2005_2015_h13_16d",0.52209864117235,0.549164790669886,-644.107499604705,43.7494394556268,4,3.00936352379934e-10
"m_evi_2005_2015_h12_full",0.508506340172311,0.547545893226374,-643.58431361919,44.2726254411417,4,2.3166811200428e-10
"m_evi_2000_2010_h13_full",0.511432909674665,0.525226054104746,-631.056726402513,56.8002126578191,4,4.41098173530942e-13
"m_evi_2000_2010_h13_16d",0.488472452149589,0.553236823248008,-627.329962417459,60.5269766428723,4,6.84350741971447e-14
"m_sr_2000_2010_h13_full",0.436580386105643,0.564717776420896,-626.610732134655,61.2462069256763,4,4.77639099548331e-14
"m_sr_2000_2010_h12_full",0.422408649433205,0.581093313512564,-625.838203330699,62.0187357296327,4,3.24599145782084e-14
"m_ndvi_2005_2015_h13_full",0.459138925559039,0.483102625394581,-623.91444425394,63.942494806392,4,1.24053321477986e-14
"m_tcg_2000_2010_h12_full",0.469609741906527,0.523052012846161,-622.30801514621,65.5489239141222,4,5.55618564764321e-15
"m_tcg_2005_2015_h12_16d",0.44606527679911,0.515866452992722,-617.205859924514,70.6510791358182,4,4.33368977154475e-16
"m_tcg_2000_2010_h12_16d",0.461904645651861,0.552267298343532,-615.551990095675,72.3049489646571,4,1.89550331710676e-16
"m_evi_2005_2015_h12_16d",0.430162811596679,0.494076135611878,-612.685038272557,75.1719007877748,4,4.52036881791118e-17
"m_sr_2005_2015_h13_full",0.399620384341752,0.460398998472139,-609.009197348423,78.8477417119084,4,7.19407822116222e-18
"m_sr_2005_2015_h13_16d",0.398111890895707,0.449053125216722,-607.974991455136,79.881947605196,4,4.28943606827071e-18
"m_sr_2005_2015_h12_16d",0.368355699499061,0.44604473241709,-604.162778711344,83.6941603489879,4,6.3765933226416e-19
"m_evi_2000_2010_h12_full",0.405052406442121,0.452857264615336,-602.129193871061,85.7277451892705,4,2.30675453314189e-19
"m_sr_2005_2015_h12_full",0.379349951154017,0.439009121046772,-601.029651396953,86.827287663379,4,1.33118608171046e-19
"m_evi_2000_2010_h12_16d",0.401757954239808,0.503558239607495,-598.738226374803,89.1187126855289,4,4.23313527175959e-20
"m_ndvi_2005_2015_h13_16d",0.362909365135715,0.393476376716021,-593.560025497446,94.2969135628859,4,3.17855779971906e-21
"m_ndvi_2000_2010_h13_16d",0.296582255428618,0.421859782563732,-585.951845807935,101.905093252397,4,7.08165695170994e-23
"m_ndvi_2000_2010_h13_full",0.293392655708395,0.422790574297195,-585.137895016711,102.71904404362,4,4.71397979077561e-23
"m_ndvi_2005_2015_h12_full",0.329751313542162,0.371115101297658,-584.377923394723,103.479015665609,4,3.22375460426705e-23
"m_ndvi_2000_2010_h12_16d",0.24787175819829,0.405936326638789,-574.987829460092,112.869109600239,4,2.94665292679546e-25
"m_ndvi_2000_2010_h12_full",0.237575900677592,0.417660913238404,-573.680931988709,114.176007071623,4,1.53299170578269e-25
"m_ndvi_2005_2015_h12_16d",0.178140927515358,0.264197156306557,-556.780768711956,131.076170348376,4,3.27880793873736e-29
