system:index,Block,BlockID,FragSize,Hunted,PointID,Site,SiteID,SizeClass,Year,blue,date,evi,green,image,mask,ndvi,nir,path,red,row,satellite,sr,swir1,swir2,tcg,.geo
00000000000000000063_2_LC08_012031_20170105,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.0284000001847744,2017-01-05,0.2314711773870465,0.05719999969005585,2_LC08_012031_20170105,1.0,0.500400960445404,0.18709999322891235,12.0,0.062300000339746475,31.0,LANDSAT_8,3.0032103061676025,0.17020000517368317,0.11410000175237656,0.08060847974660634,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170113,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.03189999982714653,2017-01-13,0.23079312946606897,0.042500000447034836,1_2_LE07_012031_20170113,1.0,0.5816555023193359,0.14139999449253082,12.0,0.03739999979734421,31.0,LANDSAT_7,3.7807486057281494,0.16030000150203705,0.09099999815225601,0.06353346026718378,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170128,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-01-28,99.0,99.0,2_LC08_013031_20170128,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170129,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-01-29,99.0,99.0,1_2_LE07_012031_20170129,0.0,99.0,99.0,12.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20170206,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.014299999922513962,2017-02-06,0.254250356605883,0.03310000151395798,2_LC08_012031_20170206,1.0,0.628993809223175,0.17080000042915344,12.0,0.03889999911189079,31.0,LANDSAT_8,4.390745639801025,0.13699999451637268,0.0835999995470047,0.09268280006550314,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170213,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-02-13,99.0,99.0,2_LC08_013031_20170213,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170214,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-02-14,99.0,99.0,1_2_LE07_012031_20170214,0.0,99.0,99.0,12.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170221,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-02-21,99.0,99.0,1_2_LE07_013031_20170221,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20170222,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-02-22,99.0,99.0,2_LC08_012031_20170222,0.0,99.0,99.0,12.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170302,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.03970000147819519,2017-03-02,0.23961396678126168,0.049300000071525574,1_2_LE07_012031_20170302,1.0,0.5099162459373474,0.1712999939918518,12.0,0.05559999868273735,31.0,LANDSAT_7,3.08093523979187,0.1808999925851822,0.09759999811649323,0.07416844027235509,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
