system:index,BAft2acre,Defol17abs,DefolMean,DefolSD,DefolSD3x3,HotSpot,OakDefolMe,OakDefolSD,PropOak,SmplPnt,TYPE_ABREV,YEAR_COMPL,harv,hotplot,latitude,longitude,m_evi_2000_2010_h12_16d,m_evi_2000_2010_h12_full,m_evi_2000_2010_h13_16d,m_evi_2000_2010_h13_full,m_evi_2005_2015_h12_16d,m_evi_2005_2015_h12_full,m_evi_2005_2015_h13_16d,m_evi_2005_2015_h13_full,m_ndvi_2000_2010_h12_16d,m_ndvi_2000_2010_h12_full,m_ndvi_2000_2010_h13_16d,m_ndvi_2000_2010_h13_full,m_ndvi_2005_2015_h12_16d,m_ndvi_2005_2015_h12_full,m_ndvi_2005_2015_h13_16d,m_ndvi_2005_2015_h13_full,m_reanalysis,m_sr_2000_2010_h12_16d,m_sr_2000_2010_h12_full,m_sr_2000_2010_h13_16d,m_sr_2000_2010_h13_full,m_sr_2005_2015_h12_16d,m_sr_2005_2015_h12_full,m_sr_2005_2015_h13_16d,m_sr_2005_2015_h13_full,m_tcg_2000_2010_h12_16d,m_tcg_2000_2010_h12_full,m_tcg_2000_2010_h13_16d,m_tcg_2000_2010_h13_full,m_tcg_2005_2015_h12_16d,m_tcg_2005_2015_h12_full,m_tcg_2005_2015_h13_16d,m_tcg_2005_2015_h13_full,.geo
0000000000000000001d,100,-0.213333,1.1,0.316227766,0.255068,2,1.333333333,0.577350269,0.3,49,Rm,0,N,2 49,42.38575541,-72.37845226,-0.867832542,-0.68565043,-0.331690681,-0.315116203,-0.679468959,-0.548675284,-0.554188542,-0.534795799,-0.494021234,-0.517147562,-0.008661152,-0.2276166,-0.283914726,-0.186176745,-0.309349743,-0.217021852,-0.213333085,-1.203765438,-1.379741992,-0.755766785,-0.960952392,-0.858741438,-0.958120916,-0.74176372,-0.802195337,-0.810695773,-0.652902974,-0.271792257,-0.254380138,-0.844514636,-0.627887253,-0.705530043,-0.63899188,"{""type"":""Point"",""coordinates"":[-72.37845202570692,42.38574654824936]}"
0000000000000000001e,120,-0.873796,1.416666667,0.900336637,0.277148,2,1.555555556,1.013793755,0.75,50,Rm,0,N,2 50,42.38529732,-72.37747621,-0.808779632,-0.689939769,-0.35170562,-0.265722245,-0.619369424,-0.549657857,-0.468541283,-0.558916379,-0.426017854,-0.297648727,0.089936611,0.112753838,-0.219983959,-0.178743773,-0.187838108,-0.232363881,-0.873795986,-0.876032361,-1.067431979,-0.511972408,-0.719505117,-0.901191871,-0.948382821,-0.774337488,-0.845682233,-0.772028813,-0.678224038,-0.324075042,-0.234146375,-0.903343776,-0.69492822,-0.737940213,-0.722420664,"{""type"":""Point"",""coordinates"":[-72.37747714746037,42.38529067133321]}"
0000000000000000002d,190,-0.161553,1.421052632,0.692482609,0.675662,1,2,NA,0.052631579,14,Rm,0,N,1 14,42.32330156,-72.38497774,-1.665301507,-1.630125183,-1.099679352,-0.991193749,-1.893794178,-1.553805799,-1.5718719,-1.277279068,-1.004134594,-0.834854251,-0.675373303,-0.390459718,-1.341732145,-1.120550083,-1.226425872,-1.003994213,-0.161552608,-1.371433111,-1.432023557,-0.910031289,-0.829046365,-2.130809641,-1.765307712,-2.067761227,-1.487546506,-1.541849669,-1.514364332,-1.067162445,-0.919674811,-2.055583016,-1.729508916,-1.822022181,-1.495017165,"{""type"":""Point"",""coordinates"":[-72.38497369573976,42.323294307039816]}"
0000000000000000002e,140,-0.956807,1.571428571,0.646206173,0.712115,1,1.777777778,0.666666667,0.642857143,15,Rm,0,N,1 15,42.32316959,-72.38426752,-0.892650066,-1.007691748,-0.411129827,-0.526380496,-1.819854803,-1.329150064,-1.55360524,-1.185706334,0.227500046,0.214619718,0.470638672,0.451183881,-1.059935109,-0.756710433,-1.011603203,-0.676726357,-0.956806564,0.314822632,-0.171265335,0.610898363,0.182426203,-1.635064257,-1.356395984,-1.598451414,-1.156308703,-0.875186773,-0.980916806,-0.516133776,-0.546793577,-2.028593449,-1.543681519,-1.834269441,-1.434378632,"{""type"":""Point"",""coordinates"":[-72.38426861041486,42.32316328961735]}"
42,100,-1.31357,2.2,1.032795559,0.169659,1,2.714285714,0.755928946,0.7,35,Rm,0,N,1 35,42.318737,-72.3812679,-1.199901521,-1.297878879,-1.021101407,-1.240357362,-1.659263253,-1.325721377,-1.693006408,-1.317481021,-0.317637188,-0.228581996,-0.28149345,-0.330742879,-1.00273655,-0.85578687,-1.236701768,-1.056577735,-1.313571334,-1.103377993,-1.060620262,-0.812101205,-0.916339921,-2.191935222,-1.821751109,-2.21576553,-1.678401085,-1.528303219,-1.509374986,-1.338828603,-1.475663457,-2.018253655,-1.633158824,-2.060856769,-1.641703998,"{""type"":""Point"",""coordinates"":[-72.38126585857808,42.318726076330066]}"
43,70,-1.46858,2.142857143,1.214985793,0.167593,1,2.75,1.258305739,0.571428571,36,Rm,0,N,1 36,42.318671,-72.38091282,-1.275223408,-1.184848325,-1.014475488,-1.103789483,-1.421863894,-1.135875858,-1.334447491,-1.093487246,-0.352058921,-0.303471703,-0.316455868,-0.407763322,-0.824836551,-0.679310966,-1.005632146,-0.857115411,-1.46857512,-1.139522139,-1.193095639,-0.813166315,-1.01576101,-1.906999365,-1.630085797,-1.884073792,-1.477272468,-1.424848067,-1.25683196,-1.166208646,-1.20297378,-1.704496887,-1.373592712,-1.625850417,-1.334531064,"{""type"":""Point"",""coordinates"":[-72.38091334221382,42.31866055840851]}"
44,100,-1.48154,2.3,1.059349905,0.22733,1,2.444444444,1.013793755,0.9,37,Rm,0,N,1 37,42.31795685,-72.38153823,-1.008000244,-1.269571822,-0.873755438,-1.156800699,-1.607234153,-1.298527839,-1.632977121,-1.38173495,-0.349744242,-0.186576834,-0.279948822,-0.152502762,-0.907892475,-0.754580232,-1.07995106,-0.980889443,-1.48154459,-0.973730035,-1.1110445,-0.710623662,-0.89438903,-1.965051468,-1.723736718,-1.991056195,-1.655624556,-1.128670857,-1.430023682,-1.071431814,-1.362333799,-1.887914042,-1.581021666,-1.992415081,-1.732536213,"{""type"":""Point"",""coordinates"":[-72.38153572968362,42.31794726907856]}"
66,100,-1.57646,2,1.154700538,0.351019,1,4,NA,0.1,71,Rm,0,N,1 71,42.31423038,-72.37489289,-2.100986299,-2.000202537,-1.972478456,-1.864221959,-1.769523526,-1.542776889,-1.792030624,-1.511916856,-0.70985483,-0.610630617,-0.950183461,-0.755197181,-0.887450323,-0.800293021,-1.319162536,-1.029461543,-1.576462139,-1.867301552,-1.771978844,-1.558850513,-1.503168376,-2.081919396,-2.0606618,-2.065757337,-1.795203448,-2.176336558,-2.207125854,-2.213589232,-2.144688076,-2.074450974,-1.829827357,-2.273155738,-1.885688111,"{""type"":""Point"",""coordinates"":[-72.37489153060599,42.314220706622656]}"
67,90,-2.86136,3.555555556,1.013793755,0.531069,1,3.875,0.353553391,0.888888889,72,Rm,0,N,1 72,42.3137103,-72.37507315,-2.310535728,-2.203783029,-2.214401339,-2.099149588,-2.112979232,-1.769212623,-2.216883483,-1.789293204,-0.708365256,-0.573104357,-0.765185542,-0.556394711,-0.842893081,-0.818386066,-1.125370876,-0.971171612,-2.861358007,-1.703690933,-1.606082587,-1.374882787,-1.368997397,-1.984472077,-1.875553514,-2.001813979,-1.702271173,-2.550001564,-2.549070584,-2.674759476,-2.509267873,-2.301517688,-2.054785163,-2.645555201,-2.171485721,"{""type"":""Point"",""coordinates"":[-72.37507197834802,42.31370007938388]}"
68,90,-2.1118,2.111111111,1.269295518,0.636413,1,2.5,1.378404875,0.666666667,73,Rm,0,N,1 73,42.31364429,-72.3747181,-1.813277554,-1.785596826,-1.812455667,-1.693784214,-1.636533783,-1.35104823,-1.681689093,-1.290248453,-0.3963928,-0.212940646,-0.426948085,-0.174999468,-0.690311845,-0.625701863,-0.878142385,-0.695528435,-2.1118003,-1.119304591,-1.081502147,-0.958998244,-0.919515065,-1.736498119,-1.638252585,-1.747446475,-1.455911834,-2.137778741,-2.117127817,-2.263265575,-2.057131045,-1.922961444,-1.61613881,-2.112793014,-1.62300785,"{""type"":""Point"",""coordinates"":[-72.37471949326985,42.313634545060836]}"
